,FullTokens,FullSinhalaTokens,FullEnglishTokens,IsHateSpeech
10,"['පංසල්', 'විනාශ', 'කරද්දී', 'ඇරෙන්න', 'නැති', 'සංගා', 'කට', 'පල්ලියට', 'ගල්', 'ගහද්දි', 'ඇරුණා', 'එහෙම', 'නායකත්ව', 'සිංහල', 'රට', 'ජාතිය', 'හදයිද']","['පංසල්', 'විනාශ', 'කරද්දී', 'ඇරෙන්න', 'නැති', 'සංගා', 'කට', 'පල්ලියට', 'ගල්', 'ගහද්දි', 'ඇරුණා', 'එහෙම', 'නායකත්ව', 'සිංහල', 'රට', 'ජාතිය', 'හදයිද']",[],YES
11,"['paduway', 'hitahan', 'beri', 'weda', 'nokaran', 'bat', 'eka', 'gaththada', 'bole', 'elluwada', 'oka', 'karagena', 'inna', 'oyala', 'desapalanayata', 'atha', 'daruwan', 'therum', 'ganna', 'nikan', 'thiyena', 'prrsiddath', 'nethi', 'karanna', 'epa']",[],"['paduway', 'hitahan', 'beri', 'weda', 'nokaran', 'bat', 'eka', 'gaththada', 'bole', 'elluwada', 'oka', 'karagena', 'inna', 'oyala', 'desapalanayata', 'atha', 'daruwan', 'therum', 'ganna', 'nikan', 'thiyena', 'prrsiddath', 'nethi', 'karanna', 'epa']",YES
12,"['muth', 'kata', 'arinne', 'anik', 'unta', 'witharai', 'jathiyata', 'agamata', 'sadda', 'na', 'endiyawata', 'koti', 'ganan', 'denawa', 'ahinsakayant', 'ape', 'rate', 'unta', 'mukuth', 'na']",[],"['muth', 'kata', 'arinne', 'anik', 'unta', 'witharai', 'jathiyata', 'agamata', 'sadda', 'na', 'endiyawata', 'koti', 'ganan', 'denawa', 'ahinsakayant', 'ape', 'rate', 'unta', 'mukuth', 'na']",YES
13,"['songs', 'kanna', 'epa', 'buruwo', 'kochchara', 'lassana', 'sindu', 'kanna', 'epa', 'ubalata', 'song', 'karanna', 'barinam', 'nikan', 'edapan', 'thiyana', 'ewa', 'kanna', 'epa']",[],"['songs', 'kanna', 'epa', 'buruwo', 'kochchara', 'lassana', 'sindu', 'kanna', 'epa', 'ubalata', 'song', 'karanna', 'barinam', 'nikan', 'edapan', 'thiyana', 'ewa', 'kanna', 'epa']",YES
14,"['muth', 'nanna', 'yannekridakayantaground', 'walata', 'wena', 'asadaranakam', 'walata', 'wachanayak', 'eliyata', 'danne', 'nathi', 'aka', 'rata', 'hadanna', 'yanawamahela', 'karanam', 'api', 'akenma', 'set']",[],"['muth', 'nanna', 'yannekridakayantaground', 'walata', 'wena', 'asadaranakam', 'walata', 'wachanayak', 'eliyata', 'danne', 'nathi', 'aka', 'rata', 'hadanna', 'yanawamahela', 'karanam', 'api', 'akenma', 'set']",YES
15,"['ai', 'mahinda', 'gen', 'polonnaruve', 'valikande', 'hmbawnaakkara', 'maddida', 'sanga', 'den', 'unp', 'yen', 'akkara', 'kiyak', 'onida', 'apita', 'ogama', 'danna', 'kaururh', 'nane', 'dun', 'noth', 'apith', 'dannava', 'karan', 'naoni', 'vada']",[],"['ai', 'mahinda', 'gen', 'polonnaruve', 'valikande', 'hmbawnaakkara', 'maddida', 'sanga', 'den', 'unp', 'yen', 'akkara', 'kiyak', 'onida', 'apita', 'ogama', 'danna', 'kaururh', 'nane', 'dun', 'noth', 'apith', 'dannava', 'karan', 'naoni', 'vada']",YES
16,"['ජයසූරිය', 'mathakada', 'ow', 'ow', 'sanath', 'ජයසූරිය', 'thama', 'eyatath', 'wada', 'kujitha', 'wela', 'yannai', 'sangata', 'wenne']","['ජයසූරිය', 'ජයසූරිය']","['mathakada', 'ow', 'ow', 'sanath', 'thama', 'eyatath', 'wada', 'kujitha', 'wela', 'yannai', 'sangata', 'wenne']",YES
17,"['රට', 'හදන්න', 'ඕනේ', 'එන්ජීඕ', 'ගැට', 'වලින්', 'මිදී', 'ගෙදරට', 'වී', 'ඉන්න']","['රට', 'හදන්න', 'ඕනේ', 'එන්ජීඕ', 'ගැට', 'වලින්', 'මිදී', 'ගෙදරට', 'වී', 'ඉන්න']",[],YES
18,"['dana', 'reddak', 'sinhalen', 'danna', 'kiyanna', 'meka', 'lankawa']",[],"['dana', 'reddak', 'sinhalen', 'danna', 'kiyanna', 'meka', 'lankawa']",YES
19,"['කියන්න', 'වැඩ', 'හොදනම්', 'හදවතින්', 'සපෝර්ට්', 'පොහොට්ටුව', 'samaga', 'නොවී', 'u', 'n', 'p', 'nam']","['කියන්න', 'වැඩ', 'හොදනම්', 'හදවතින්', 'සපෝර්ට්', 'පොහොට්ටුව', 'නොවී']","['samaga', 'u', 'n', 'p', 'nam']",YES
20,"['president', 'wenna', 'puluwan', 'bauddayekuta', 'witharai', 'me', 'yaka', 'croatian']",[],"['president', 'wenna', 'puluwan', 'bauddayekuta', 'witharai', 'me', 'yaka', 'croatian']",YES
21,"['රට', 'හදන්න', 'කලින්', 'මිනිසුන්', 'රවටන', 'ප්\u200dරචාරක', 'දැන්විම්', 'වලින්', 'මුදල්', 'හම්බ', 'කරන', 'එක', 'නවත්වා', 'සමාජයට', 'සේවයක්', 'කරන්න']","['රට', 'හදන්න', 'කලින්', 'මිනිසුන්', 'රවටන', 'ප්\u200dරචාරක', 'දැන්විම්', 'වලින්', 'මුදල්', 'හම්බ', 'කරන', 'එක', 'නවත්වා', 'සමාජයට', 'සේවයක්', 'කරන්න']",[],YES
22,"['ජයසූරිය', 'ආවෙකෝ', 'රට', 'හැදුවද', 'හැදුවද', 'නෑනෙනෑ', 'නෙඌ', 'ලමයි', 'හැදුව']","['ජයසූරිය', 'ආවෙකෝ', 'රට', 'හැදුවද', 'හැදුවද', 'නෑනෙනෑ', 'නෙඌ', 'ලමයි', 'හැදුව']",[],YES
23,"['අපිටත්', 'ඇඩ්', 'එකක', 'ඉන්න', 'පුළුවන්', 'වෙයි', 'නේ']","['අපිටත්', 'ඇඩ්', 'එකක', 'ඉන්න', 'පුළුවන්', 'වෙයි', 'නේ']",[],YES
24,"['පොන්නයො', 'රට', 'පලනය', 'කරනකොට', 'ඔහොම', 'තමාජිවිතේ', 'අසාවෙන්', 'බලපු', 'එකම', 'දේ', 'ක්\u200dරිකට්', 'එකත්', 'නැති', 'පොන්නයො']","['පොන්නයො', 'රට', 'පලනය', 'කරනකොට', 'ඔහොම', 'තමාජිවිතේ', 'අසාවෙන්', 'බලපු', 'එකම', 'දේ', 'ක්\u200dරිකට්', 'එකත්', 'නැති', 'පොන්නයො']",[],YES
25,"['කාරනය', 'විග්\u200dරහ', 'කරන්න', 'ඩුප්ලිකේට්', 'මහමෙව්නාවේ', 'ඩුප්ලිකේට්', 'කල්\u200dයාණ', 'මිතුරන්ට', 'පුලුවන්', 'දිව්\u200dය', 'ලෝක', 'promote', 'කරයි\u200d']","['කාරනය', 'විග්\u200dරහ', 'කරන්න', 'ඩුප්ලිකේට්', 'මහමෙව්නාවේ', 'ඩුප්ලිකේට්', 'කල්\u200dයාණ', 'මිතුරන්ට', 'පුලුවන්', 'දිව්\u200dය', 'ලෝක', 'කරයි\u200d']",['promote'],YES
26,"['ස්ට්\u200dරයික්', 'කරන', 'ඔක්කොටම', 'ගහන්න', 'දෝස්තරලාත්', 'ඇතුලු']","['ස්ට්\u200dරයික්', 'කරන', 'ඔක්කොටම', 'ගහන්න', 'දෝස්තරලාත්', 'ඇතුලු']",[],YES
27,"['aka', 'satha', 'k', 'wadi', 'karanna', 'epa', 'okuntawada', 'karanna', 'bai', 'nam', 'job', 'eken', 'elawannaeliye', 'job', 'nathi', 'ewun', 'oni', 'tharam', 'ennawa']",[],"['aka', 'satha', 'k', 'wadi', 'karanna', 'epa', 'okuntawada', 'karanna', 'bai', 'nam', 'job', 'eken', 'elawannaeliye', 'job', 'nathi', 'ewun', 'oni', 'tharam', 'ennawa']",YES
28,"['ගිය', 'ආන්ඩුව', 'කාලෙ', 'ඔහොම', 'නැටුවේ', 'නෑමුන්ගෙ', 'කොන්ද', 'පන']","['ගිය', 'ආන්ඩුව', 'කාලෙ', 'ඔහොම', 'නැටුවේ', 'නෑමුන්ගෙ', 'කොන්ද', 'පන']",[],YES
29,"['ඉතිං', 'බං', 'උබලා', 'පිස්සු', 'නටලා', 'ඊට', 'පඩි', 'ගන්නෙ', 'ඕක']","['ඉතිං', 'බං', 'උබලා', 'පිස්සු', 'නටලා', 'ඊට', 'පඩි', 'ගන්නෙ', 'ඕක']",[],YES
30,"['කල්ලතෝනි', 'පකෙක්']","['කල්ලතෝනි', 'පකෙක්']",[],YES
31,"['අැත්තටම', 'සතුටුයිඑ්', 'මනුස්සකමටඑ්', 'වගේම', 'අරාබිය', 'ගිහින්එන', 'අපේ', 'මුස්ලිමි', 'කාන්තාවන්', 'මුන', 'වහගෙන', 'බිල්ල', 'එනකොට', 'නෝනා', 'සුන්දර', 'විදියට', 'අැවිත්', 'ඉන්න']","['අැත්තටම', 'සතුටුයිඑ්', 'මනුස්සකමටඑ්', 'වගේම', 'අරාබිය', 'ගිහින්එන', 'අපේ', 'මුස්ලිමි', 'කාන්තාවන්', 'මුන', 'වහගෙන', 'බිල්ල', 'එනකොට', 'නෝනා', 'සුන්දර', 'විදියට', 'අැවිත්', 'ඉන්න']",[],YES
32,"['kisi', 'quality', 'ekak', 'nathi', 'apatayek']",[],"['kisi', 'quality', 'ekak', 'nathi', 'apatayek']",YES
33,"['munta', 'chande', 'dena', 'buruwo', 'innawane', 'thawath', 'me', 'rate']",[],"['munta', 'chande', 'dena', 'buruwo', 'innawane', 'thawath', 'me', 'rate']",YES
34,"['කැරිවේසිග', 'පුතාල', 'ඉන්නකල්', 'රටට', 'කෙලවෙන', 'එක', 'අහන්න', 'දෙයක්ද', 'බන්කාලකන්නි', 'හැත්තබල්ලො', 'රටේ', 'ලොක්කො', 'වෙනකොට', 'රට', 'බල්ලට', 'යන', 'එක', 'අහන්න', 'දෙයක්ද']","['කැරිවේසිග', 'පුතාල', 'ඉන්නකල්', 'රටට', 'කෙලවෙන', 'එක', 'අහන්න', 'දෙයක්ද', 'බන්කාලකන්නි', 'හැත්තබල්ලො', 'රටේ', 'ලොක්කො', 'වෙනකොට', 'රට', 'බල්ලට', 'යන', 'එක', 'අහන්න', 'දෙයක්ද']",[],YES
35,"['thota', 'henagapiya', 'kadaya', 'thilangayawa', 'hurathal', 'karapan', 'esige', 'putha']",[],"['thota', 'henagapiya', 'kadaya', 'thilangayawa', 'hurathal', 'karapan', 'esige', 'putha']",YES
36,"['cricket', 'kridawa', 'kawe', 'oi', 'thirisana', 'oi', 'putuwa', 'deehan', 'sangata', 'un', 'dawiwaru', 'yakooo']",[],"['cricket', 'kridawa', 'kawe', 'oi', 'thirisana', 'oi', 'putuwa', 'deehan', 'sangata', 'un', 'dawiwaru', 'yakooo']",YES
37,"['kwda', 'me', 'lat', 'roy', 'kiyana', 'ekaa', 'lat', 'hoodana', 'ekek', 'da']",[],"['kwda', 'me', 'lat', 'roy', 'kiyana', 'ekaa', 'lat', 'hoodana', 'ekek', 'da']",YES
38,"['ekata', 'ape', 'ekathuuu']",[],"['ekata', 'ape', 'ekathuuu']",YES
39,"['තොපි', 'නාහෙන්', 'අඩන', 'කාලකන්නි', 'පොන්නයො', 'අපේ', 'සංගීතය', 'අද', 'කණ', 'කොකා', 'හඩලා', 'තියෙන්නෙලැජ්ජයි', 'යකෝතෝ', 'එකෙක්', 'ආයෙ', 'මුණ', 'ගැහුනා', 'ඌත්', 'තෝ', 'වගේම', 'අඩයිනෙ', 'දවසක']","['තොපි', 'නාහෙන්', 'අඩන', 'කාලකන්නි', 'පොන්නයො', 'අපේ', 'සංගීතය', 'අද', 'කණ', 'කොකා', 'හඩලා', 'තියෙන්නෙලැජ්ජයි', 'යකෝතෝ', 'එකෙක්', 'ආයෙ', 'මුණ', 'ගැහුනා', 'ඌත්', 'තෝ', 'වගේම', 'අඩයිනෙ', 'දවසක']",[],YES
40,"['dakuna', 'menessuu', 'harema', 'arthmarthakameeeeeeeeeeee']",[],"['dakuna', 'menessuu', 'harema', 'arthmarthakameeeeeeeeeeee']",YES
41,"['sinhalayo', 'kuhakayo']",[],"['sinhalayo', 'kuhakayo']",YES
42,"['ජනාධිපති', 'නෙද', 'හුත්තෝ', 'උබ', 'උබ', 'හොඳ', 'නගරසභා', 'toilet', 'සුද්ද', 'කරන්නහිකුණ්ඨික', 'සක්කිලියා']","['ජනාධිපති', 'නෙද', 'හුත්තෝ', 'උබ', 'උබ', 'හොඳ', 'නගරසභා', 'සුද්ද', 'කරන්නහිකුණ්ඨික', 'සක්කිලියා']",['toilet'],YES
43,"['මොනව', 'උනත්', 'පොලිසියෙ', 'ඉන්නෙ', 'බල්ලො']","['මොනව', 'උනත්', 'පොලිසියෙ', 'ඉන්නෙ', 'බල්ලො']",[],YES
44,"['lankawe', 'wage', 'political', 'majarayo', 'innakam', 'police', 'quality', 'eka', 'wadi', 'karanna', 'baha']",[],"['lankawe', 'wage', 'political', 'majarayo', 'innakam', 'police', 'quality', 'eka', 'wadi', 'karanna', 'baha']",YES
45,"['තෝ', 'වගෙ', 'එකෙක්', 'යකෝවැදගත්', 'දෙයක්', 'කරපියගොන්', 'වස්සෙක්ඉදකින්', 'හුත්තො']","['තෝ', 'වගෙ', 'එකෙක්', 'යකෝවැදගත්', 'දෙයක්', 'කරපියගොන්', 'වස්සෙක්ඉදකින්', 'හුත්තො']",[],YES
46,"['lanka', 'we', 'inne', 'labba', 'bahapu', 'naki', 'police', 'karayo', 'nebulath', 'wite', 'kagenaahisaka', 'bike', 'ekak', 'nawath', 'wala', 'ugen', 'rs', 'aragena', 'lami', 'ta', 'ganun', 'ta', 'kanna', 'dena']",[],"['lanka', 'we', 'inne', 'labba', 'bahapu', 'naki', 'police', 'karayo', 'nebulath', 'wite', 'kagenaahisaka', 'bike', 'ekak', 'nawath', 'wala', 'ugen', 'rs', 'aragena', 'lami', 'ta', 'ganun', 'ta', 'kanna', 'dena']",YES
47,"['kasippu', 'karayagen', 'ganja', 'karayagen', 'keeyak', 'hari', 'aragenaunge', 'bothalayatayata', 'unakisima', 'puhunuwak', 'nathi', 'gon', 'harak', 'tikak', 'nepolice', 'office', 'ekak', 'paththata', 'nikamata', 'gihilla', 'blapallaali', 'wrdi', 'walatath', 'duwana', 'un', 'innegam', 'walin', 'apu', 'rilau']",[],"['kasippu', 'karayagen', 'ganja', 'karayagen', 'keeyak', 'hari', 'aragenaunge', 'bothalayatayata', 'unakisima', 'puhunuwak', 'nathi', 'gon', 'harak', 'tikak', 'nepolice', 'office', 'ekak', 'paththata', 'nikamata', 'gihilla', 'blapallaali', 'wrdi', 'walatath', 'duwana', 'un', 'innegam', 'walin', 'apu', 'rilau']",YES
48,"['යකෝ', 'ලංකාවේ', 'පොලිසියනිරායුධ', 'මිනිසුන්', 'ගහන්නේ', 'එලවා', 'එලවා']","['යකෝ', 'ලංකාවේ', 'පොලිසියනිරායුධ', 'මිනිසුන්', 'ගහන්නේ', 'එලවා', 'එලවා']",[],YES
49,"['ape', 'polisiya', 'atule', 'tmai', 'wadiyenma', 'horu', 'inne']",[],"['ape', 'polisiya', 'atule', 'tmai', 'wadiyenma', 'horu', 'inne']",YES
50,"['arawa', 'kanno', 'echchari', 'danne', 'policeya', 'gena']",[],"['arawa', 'kanno', 'echchari', 'danne', 'policeya', 'gena']",YES
51,"['පොලිස්සිය', 'තාම', 'කැද', 'හැලි', 'තරැන', 'කොල්ලොන්ට', 'ජීවිතෙන්', 'වන්දි', 'ගෙවන්න', 'වෙන්නෙ', 'නාකි', 'පප්පල', 'බුලත්විටක්', 'කාගෙන', 'අඩි', 'දහයක', 'දුවා', 'ගන්න', 'බැරි']","['පොලිස්සිය', 'තාම', 'කැද', 'හැලි', 'තරැන', 'කොල්ලොන්ට', 'ජීවිතෙන්', 'වන්දි', 'ගෙවන්න', 'වෙන්නෙ', 'නාකි', 'පප්පල', 'බුලත්විටක්', 'කාගෙන', 'අඩි', 'දහයක', 'දුවා', 'ගන්න', 'බැරි']",[],YES
52,"['තුවක්කු', 'පුහුනුව', 'දෙන්නෙ', 'training', 'එකේ', 'විතරයි', 'ඉලක්ක', 'අරන්', 'වෙඩි', 'තියන්', 'කී', 'දෙනාද', 'දක්ෂ', 'නාකි', 'පප්පල', 'ගහල', 'පන්නන්න', 'ජරාව', 'කකා', 'ඉන්නන්', 'වාලේ', 'ඉන්නවටඅනිත්', 'එක', 'සාමාන්\u200dය', 'මිනිස්සු', 'ඉන්න', 'තත්වයකදි', 'විදියට', 'වෙඩි', 'තැබීම', 'අනුමත', 'කරන්න', 'බැ']","['තුවක්කු', 'පුහුනුව', 'දෙන්නෙ', 'එකේ', 'විතරයි', 'ඉලක්ක', 'අරන්', 'වෙඩි', 'තියන්', 'කී', 'දෙනාද', 'දක්ෂ', 'නාකි', 'පප්පල', 'ගහල', 'පන්නන්න', 'ජරාව', 'කකා', 'ඉන්නන්', 'වාලේ', 'ඉන්නවටඅනිත්', 'එක', 'සාමාන්\u200dය', 'මිනිස්සු', 'ඉන්න', 'තත්වයකදි', 'විදියට', 'වෙඩි', 'තැබීම', 'අනුමත', 'කරන්න', 'බැ']",['training'],YES
53,"['පාතාල', 'කාරයන්', 'මනුස්සකම', 'නැනේමුන්', 'බයි', 'වලට', 'නගිනකන්', 'ඉවස', 'තිබුනේනැත්තන්', 'තත්වය', 'බලල', 'stf', 'ගෙනන්න', 'තිබුනේ', 'කොහේ', 'ලොක්කො', 'දෙන', 'අණ', 'නේ', 'අපරාදෙ', 'වටින', 'ජීවිතයක']","['පාතාල', 'කාරයන්', 'මනුස්සකම', 'නැනේමුන්', 'බයි', 'වලට', 'නගිනකන්', 'ඉවස', 'තිබුනේනැත්තන්', 'තත්වය', 'බලල', 'ගෙනන්න', 'තිබුනේ', 'කොහේ', 'ලොක්කො', 'දෙන', 'අණ', 'නේ', 'අපරාදෙ', 'වටින', 'ජීවිතයක']",['stf'],YES
54,"['ගිහින්', 'එකෙක්ටවත්', 'ආපහු', 'ලෝකේ', 'දකින්න', 'ඉඩ', 'තියන්', 'එපාමුන්ව', 'හිරේ', 'යවන්නනම්', 'එපාමරලා', 'දානවා']","['ගිහින්', 'එකෙක්ටවත්', 'ආපහු', 'ලෝකේ', 'දකින්න', 'ඉඩ', 'තියන්', 'එපාමුන්ව', 'හිරේ', 'යවන්නනම්', 'එපාමරලා', 'දානවා']",[],YES
55,"['මෙහෙම', 'කුහක', 'මිනිස්සු']","['මෙහෙම', 'කුහක', 'මිනිස්සු']",[],YES
56,"['හොරු', 'හොඳ', 'තුවක්කුවලින්', 'වෙඩි', 'තියනවා', 'පොලිසිය', 'අත', 'වන', 'වන', 'ඇවිත', 'හොරු', 'වෙඩි', 'කනවා', 'ගුටි', 'කනවා']","['හොරු', 'හොඳ', 'තුවක්කුවලින්', 'වෙඩි', 'තියනවා', 'පොලිසිය', 'අත', 'වන', 'වන', 'ඇවිත', 'හොරු', 'වෙඩි', 'කනවා', 'ගුටි', 'කනවා']",[],YES
57,"['මෙලෝ', 'රහක්', 'නැති', 'උන්', 'ඉන්න', 'ටවුන්', 'එකක්']","['මෙලෝ', 'රහක්', 'නැති', 'උන්', 'ඉන්න', 'ටවුන්', 'එකක්']",[],YES
58,"['මන්නම්', 'කියන්නෙ', 'පොලිසියෙ', 'උන්නැහැලා', 'ටිකටත්', 'stf', 'පුහුණුවක්', 'අවශයයිමොකද', 'හොරාට', 'පන්න', 'ගන්න', 'බැමොලෙ', 'පාවිච්චි', 'කරලා', 'හොරා', 'කොටු', 'කරගන්නෙ', 'නැගොන්', 'වැඩ', 'ගොඩක්', 'තියෙනව']","['මන්නම්', 'කියන්නෙ', 'පොලිසියෙ', 'උන්නැහැලා', 'ටිකටත්', 'පුහුණුවක්', 'අවශයයිමොකද', 'හොරාට', 'පන්න', 'ගන්න', 'බැමොලෙ', 'පාවිච්චි', 'කරලා', 'හොරා', 'කොටු', 'කරගන්නෙ', 'නැගොන්', 'වැඩ', 'ගොඩක්', 'තියෙනව']",['stf'],YES
59,"['කතා', 'කරෝත්', 'මහ', 'ලොකුවට', 'අපිදකුණේකෝන්දක්', 'තීයන', 'කේනේක්', 'පොලිසිය', 'අයියව', 'උස්සන්නඔය', 'උස්සපු', 'අයියා', 'විතරයිපිරිමි', 'යේක්', 'කියලා']","['කතා', 'කරෝත්', 'මහ', 'ලොකුවට', 'අපිදකුණේකෝන්දක්', 'තීයන', 'කේනේක්', 'පොලිසිය', 'අයියව', 'උස්සන්නඔය', 'උස්සපු', 'අයියා', 'විතරයිපිරිමි', 'යේක්', 'කියලා']",[],YES
